obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Blink, Derived, totPwr, class 
1,1.2,248664,48273,3445,10643,7847,6834,1516,1939,37,75, NA,0.1,329161,  X*
2,2.2,27326,39241,24821,13439,11865,8232,3098,1770,43,77, NA,0.44,129792,  X*
3,3.2,19217,9559,1114,8884,9005,3094,2346,2067,40,75, NA,0.14,55286,  X*
4,4.2,36673,61931,6081,2595,6179,8524,1235,1095,48,48, NA,0.22,124313,  X*
5,5.2,24735,2463,268,3119,4405,2761,425,1467,49.5,53, NA,0.08,39643,  X*
6,6.2,2010,6454,10291,7408,1413,2925,1020,1709,52.5,63, NA,0.56,33230,  X*
7,7.2,4701,13570,4072,3561,3052,2832,653,793,55.5,61, NA,0.35,33234,  X*
8,8.2,7648,14993,7703,14638,2191,7170,5622,2804,58.5,81, NA,0.35,62769,  X*
9,9.2,130154,69523,6905,930,1146,490,371,698,61.5,69, NA,0.18,210217,  X*
10,10.1,23348,29456,10064,12592,3066,4512,612,738,55,60, NA,0.35,84388,  X*
11,11.1,15398,6262,15353,9126,3226,3438,4138,1183,34,75, NA,0.51,58124,  X*
12,12.1,41977,27314,6252,11294,3641,2607,1914,1402,26,69, NA,0.25,96401,  X*
13,13.1,13780,10799,7077,4399,3965,2863,1002,1387,51,87, NA,0.4,45272,  X*
14,14.1,110769,33774,25108,5629,7360,7429,2226,2203,53,88, NA,0.36,194498,  X*
15,15.1,90937,56119,2992,5164,14994,17978,7042,4135,60,57, NA,0.12,199361,  X*
16,16.1,99950,63991,44937,14817,5717,9740,8633,8857,61,63, NA,0.42,256642,  X*
17,17.1,59905,78404,14878,1281,3839,9952,4529,6107,60,50, NA,0.29,178895,  X*
18,18.1,552286,121845,9132,20749,7356,7856,5790,5449,53,38, NA,0.11,730463,  X*
19,19.1,42156,29322,15043,14237,11448,14756,3735,9206,53,54,50,0.33,139903,  X*
20,19.8,1190866,630351,10958,76712,213111,23523,27148,15450,47,35,40,0.07,2188119,  X*
21,20, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,57, NA, NA,  X*
22,21.1,870842,63153,36555,9894,13603,36604,4481,1309,56,43,83,0.19,1036441,  X*
23,22.1,66423,51166,15385,19455,4622,14670,8950,7319,64,51, NA,0.29,187990,  X*
24,23.1,43149,34801,23750,5307,15925,11738,7592,5216,63,50, NA,0.4,147478,  X*
25,24,33571,46017,6019,4106,5969,14973,5117,4830,80,53, NA,0.22,120602,  X*
26,25,90717,43554,7196,3025,3525,2709,1624,2859,63,47,44,0.22,155209,  X*
27,26,104740,18849,2499,5418,5348,3682,827,1634,61,41, NA,0.13,142997,  X*
28,27,25186,27214,21120,9729,6818,6320,15181,5864,57,47, NA,0.42,117432,  X*
29,28,503842,50872,4882,16589,5388,8360,8592,4216,51,56, NA,0.09,602741,  X*
30,29,8796,37808,9156,22434,9550,7695,3256,2859,57,66, NA,0.3,101554,  X*
31,30,19894,19864,3410,9809,4425,8874,3467,4080,63,67, NA,0.21,73823,  X*
32,31,12602,22135,14896,3522,9473,4548,3243,3063,64,63, NA,0.45,73482,  X*
33,32,9334,13072,15076,5385,11743,9618,3310,1695,69,67,44,0.47,69233,  X*
34,32.9,103852,24351,51238,13508,19575,27296,7158,1890,78,74,50,0.45,248868,  X*
35,33.2,81891,306549,14666,49139,41853,31852,24216,6285,69,66,37,0.16,556451,  X*
